CurationProvider,OfferId,DealerId,UniqueOptionId,OptionId,IsMobileDealer,IsOpen,Eta,ChamaScore,ProductBrand,IsWinner,MinimumPrice,MaximumPrice,DynamicPrice,FinalPrice,DefeatPrimaryReason,DefeatReasons,EnqueuedTimeSP
"""ByPrice""","""149f0e53-ff85-425f-a01a-8710f06704ea""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""1:00""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""149f0e53-ff85-425f-a01a-8710f06704ea""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,False,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""Closed""","""['Closed', 'HasDriverInOffer']""",25/08/21
"""ByPrice""","""c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""00:12:54.9215999""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,True,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""HasDriverInOffer""","""['HasDriverInOffer']""",25/08/21
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""1:00""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,False,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""Closed""","""['Closed', 'HasDriverInOffer']""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""00:01:27.4607999""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,True,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""HasDriverInOffer""","""['HasDriverInOffer']""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""00:07:11.1911999""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,True,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""HasDriverInOffer""","""['HasDriverInOffer']""",25/08/21
